Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4, C5, C9",0603,6,0.1uF,
"C11, C12, C13, C6",1206,4,22uF,
"C7, C8",0603,2,1uF,
D2,SOT-143,1,PRTR5V0U2X,
"D3, D5",0603,2,BLU,
"D4, D6, D7, D8",0603,4,GRN,
"IC1, IC2",ESP32C3WROOM02UN4,2,ESP32-C3-WROOM-02U-N4,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J2, J3",PinHeader_1x12_P2.54mm_Vertical,2,Conn_01x12_Pin,
J4,Coax_Conn_U.FL,1,U_FL-R-SMT_10_,U.FL-R-SMT(10)
L1,Ai-Thinker-Ra-01-LoRa,1,Ra-01SH,
Q1,SOT-363_SC-70-6,1,MMDT3904,
"RN1, RN2",RESCAXE80P320X160X70-8N,2,10K,
"RN3, RN4",RESCAXE80P320X160X70-8N,2,5K1,
S1,MS-22C01-G010,1,MS-22C01-G010,MS-22C01-G010
"SW1, SW2",TS342A2P-WZ,2,TS342A2P-WZ,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
